No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
2089,GFL,GFL Environmental Inc,Industrials,Waste Management,Canada,18537.19,,50.55,0.0072,868192,Yes
2090,GFS,GlobalFoundries Inc,Technology,Semiconductors,USA,18450.7,,33.37,0.0174,4629028,Yes
2091,GGAL,Grupo Financiero Galicia ADR,Financial,Banks - Regional,Argentina,7039.73,5.72,53.13,0.0428,1158253,Yes
2092,GGB,Gerdau S.A. ADR,Basic Materials,Steel,Brazil,3644.84,10.3,2.88,-0.0137,8169832,Yes
2093,GGG,Graco Inc,Industrials,Specialty Industrial Machinery,USA,13820.55,29.57,83.41,-0.0056,1256598,Yes
2098,GH,Guardant Health Inc,Healthcare,Diagnostics & Research,USA,5560.63,,44.59,-0.0342,3142918,Yes
2103,GIB,CGI Inc,Technology,Information Technology Services,Canada,21312.31,17.87,96.58,-0.0097,282423,Yes
2109,GIL,Gildan Activewear Inc,Consumer Cyclical,Apparel Manufacturing,Canada,7892.53,16.81,52.86,0.0055,578474,Yes
2110,GILD,"Gilead Sciences, Inc",Healthcare,Drug Manufacturers - General,USA,137180.49,23.19,110.28,-0.0194,7446744,Yes
2113,GIS,"General Mills, Inc",Consumer Defensive,Packaged Foods,USA,26747.1,12.05,49.31,0.0033,3572699,Yes
2115,GKOS,Glaukos Corporation,Healthcare,Medical Devices,USA,5074.9,,88.49,0.0049,1141603,Yes
2116,GL,Globe Life Inc,Financial,Insurance - Life,USA,11657.53,11.29,141.23,0.0123,762207,Yes
2118,GLBE,Global E Online Ltd,Consumer Cyclical,Internet Retail,Israel,5898.04,,34.81,0.0684,1766567,Yes
2124,GLNG,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,4332.42,,41.41,-0.0089,878179,Yes
2125,GLOB,Globant S.A,Technology,Information Technology Services,Luxembourg,3467.71,23.26,78.73,-0.0112,1570663,Yes
2128,GLPG,Galapagos NV ADR,Healthcare,Biotechnology,Belgium,2161.52,,32.8,-0.0058,416123,Yes
2129,GLPI,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty,USA,12964.6,17.6,45.81,-0.0155,1089852,Yes
2132,GLW,"Corning, Inc",Technology,Electronic Components,USA,54806.46,67.74,63.98,0.0128,5825223,Yes
2133,GLXY,Galaxy Digital Inc,Financial,Capital Markets,USA,4497.43,,27.34,-0.0123,9224186,Yes
2134,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,49955.52,8.32,52.47,-0.0021,5390488,Yes
2135,GMAB,Genmab ADR,Healthcare,Biotechnology,Denmark,13230.16,12.2,21.51,-0.0267,1508764,Yes
2136,GME,Gamestop Corporation,Consumer Cyclical,Specialty Retail,USA,10203.74,49.46,22.81,0,4825043,Yes
2137,GMED,Globus Medical Inc,Healthcare,Medical Devices,USA,7152.09,39.52,52.83,-0.0151,949666,Yes
2143,GMS,GMS Inc,Industrials,Building Products & Equipment,USA,4161.52,37.88,109.5,-0.0012,1359151,Yes
2150,GNRC,Generac Holdings Inc,Industrials,Specialty Industrial Machinery,USA,11456.53,32.21,193.91,-0.0171,745197,Yes
